Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
Mark Ray,M,Raw,25.0,93.26,165.0,197.5,95.0
Melissa Heng,F,Raw,26.5,72.0,150.0,160.0,55.0
Michael Gregory Smith,M,Raw,32.5,118.4,257.5,297.5,177.5
Marquise Ellis,M,Wraps,21.0,164.7,197.5,227.5,122.5
TuanDat Nguyen,M,Raw,22.5,88.3,217.5,217.5,147.5
Tinna Rut Traustadottir,F,Raw,28.5,56.15,97.5,150.0,72.5
Regina Hackney,F,Raw,77.5,83.12,75.0,112.5,50.0
Frederico Rowe,M,Wraps,35.0,89.45,145.0,185.0,135.0
William Lugo,M,Raw,34.5,124.3,235.0,277.5,145.0
Mark Ramirez,M,Raw,21.0,64.2,145.0,165.0,87.5
Janos Fazekas,M,Wraps,30.0,98.7,315.0,320.0,200.0
Fatima Patterson,F,Raw,40.0,91.9,75.0,112.5,70.0
Liz Lukaszewski,F,Raw,32.0,72.55,82.5,125.0,70.0
Kaylie Purviance,F,Raw,21.5,77.3,107.5,120.0,70.0
Midhun Joseph,M,Single-ply,,58.46,250.0,240.0,140.0
Zack Scharnikow,M,Raw,19.0,80.3,202.5,210.0,125.0
Chris Michael,M,Raw,30.0,122.8,217.5,225.0,115.0
Christina Choulagh,F,Raw,22.5,68.5,155.0,167.5,80.0
Kimberly Price,F,Single-ply,52.5,46.1,105.0,145.0,55.0
Meghan Palma,F,Raw,30.0,58.97,115.0,125.0,60.0
Gino Santamaria,M,Raw,28.0,81.9,157.5,197.5,125.0
Daniel Duncan,M,Raw,23.0,137.8,275.0,265.0,175.0
Corey Hietapelto,M,Raw,25.5,89.8,155.0,182.5,110.0
Emily Claffey,F,Raw,22.5,69.06,115.0,120.0,65.0
Carlos Nunez,M,Raw,26.5,85.54,182.5,260.0,135.0
Bianca Mendoza,F,Raw,20.0,59.51,90.0,125.0,42.5
Paul Chun,M,Raw,36.0,72.76,152.5,172.5,85.0
Derek Winans,M,Raw,26.0,49.9,102.5,170.0,77.5
Viola Fiodorova,F,Single-ply,25.5,87.4,180.0,180.0,90.0
Christopher Mendoza,M,Raw,18.0,99.6,155.0,220.0,120.0
Michael Anguelo,M,Raw,23.0,106.35,200.0,212.5,160.0
Sam Lockhart,M,Wraps,20.0,74.62,150.0,197.5,100.0
Michelle Price,F,Raw,42.0,112.9,120.0,147.5,77.5
Nate Bugni,M,Raw,27.0,74.6,215.0,272.5,150.0
Sarah Burkett,F,Raw,22.0,51.3,125.0,135.0,82.5
Cameron Willis,M,Single-ply,16.0,92.62,185.0,182.5,115.0
Whitney McGhee,F,Raw,28.0,69.2,140.0,200.0,75.0
Allen Plata,M,Raw,30.0,82.5,190.0,255.0,102.5
Jared Rex,M,Raw,23.0,72.7,200.0,230.0,125.0
Savannah Gray,F,Single-ply,20.5,51.6,122.5,122.5,55.0
Elizabeth Fraser,F,Raw,18.0,80.5,97.5,122.5,62.5
Gary Bobavitz,M,Multi-ply,64.0,60.0,60.0,60.0,137.5
Josh Montgomery,M,Raw,26.0,113.4,215.0,232.5,127.5
Gracie Vanasse,F,Multi-ply,24.0,66.45,204.12,204.12,131.54
Joseph O'Haire,M,Wraps,24.0,99.06,229.06,210.92,151.95
Arturo Tabarez,M,Raw,23.0,97.15,227.5,275.0,155.0
Leonardo Mercado-Padilla,M,Raw,21.0,81.28,137.5,182.5,92.5
Charles Roy,M,Raw,21.0,74.5,185.0,230.0,132.5
Chelsea Cannon,F,Raw,26.0,80.6,152.5,187.5,95.0
Thomas Hartwell,M,Raw,26.0,79.1,182.5,257.5,117.5
Cameron Punch,M,Raw,23.5,81.75,200.0,240.0,130.0
Nicki I'Anson,F,Wraps,49.0,80.7,187.5,205.0,60.0
Salina Vega,F,Raw,36.0,66.3,140.0,165.0,90.0
Aaron Sanvosky,M,Wraps,30.0,80.51,197.31,249.48,122.47
Chris Cottrell,M,Wraps,28.0,92.5,202.5,215.0,115.0
Julian Hooks,M,Raw,28.5,97.2,262.5,285.0,180.0
Jeremy Stapleton,M,Wraps,25.0,84.7,180.0,205.0,100.0
Eric Santos,M,Single-ply,43.0,89.25,180.0,215.0,125.0
Angela George,F,Raw,26.0,80.7,125.0,152.5,65.0
Thierry Boistelle,M,Single-ply,51.5,131.5,245.0,250.0,160.0
Mark Scovzen,M,Raw,23.5,89.1,170.0,217.5,102.5
Reef Shook,M,Raw,27.0,122.0,160.0,230.0,200.0
Layne Vayda,F,Wraps,11.0,46.72,77.11,77.11,31.75
Shane Bridges,M,Raw,31.5,101.4,175.0,205.0,117.5
Bryce Richards,M,Wraps,15.0,58.97,105.0,137.5,87.5
Doug Benedict,M,Raw,50.0,107.72,195.0,212.5,145.0
Kate Murawski,F,Raw,26.0,85.3,122.5,145.0,47.5
Adam Huard,M,Single-ply,31.5,130.05,300.0,290.0,182.5
Matt Donovan,M,Raw,20.5,80.7,152.5,175.0,95.0
Kevin Neuwirth,M,Raw,30.0,92.1,175.0,222.5,97.5
Randolph Pendleton III,M,Wraps,47.0,98.4,155.0,210.0,170.0
Alexander Moiseev,M,Raw,62.5,58.55,125.0,145.0,80.0
Miranda Foyster,F,Raw,49.5,60.6,65.0,80.0,37.5
Noemi Garnica,F,Wraps,29.0,67.5,142.5,157.5,82.5
Betsy Spann,F,Single-ply,54.0,64.86,95.0,127.5,60.0
Michael Medlin,M,Raw,42.0,94.1,167.5,192.5,110.0
Steven Grosso,M,Wraps,24.5,82.74,199.58,206.38,117.93
Vithuran Arulmoli,M,Single-ply,23.0,88.99,227.5,245.0,150.0
Garrett Johnson,M,Raw,27.0,91.5,230.0,265.0,140.0
Austin Aiello,M,Raw,20.0,88.3,207.5,272.5,132.5
Sal Safonte,M,Wraps,24.0,140.0,235.0,280.0,135.0
Ingrid Braun,F,Raw,18.5,80.9,110.0,132.5,47.5
Leslie Myers,M,Raw,28.0,97.0,215.0,257.5,160.0
Parker Reid,M,Wraps,21.0,80.9,237.5,245.0,125.0
Kim Maslana,F,Wraps,52.0,53.07,72.5,92.5,42.5
Carlos Rubio,M,Single-ply,18.5,109.0,215.0,245.0,155.0
Marie Lemkul,F,Raw,42.0,74.03,105.0,150.0,62.5
Monika Lovas,F,Raw,21.5,115.76,172.5,190.0,112.5
Hillary Harper,F,Multi-ply,32.0,67.22,182.5,182.5,95.0
Erick Willis,M,Raw,24.5,118.8,290.0,332.5,207.5
Elizabeth Ostro,F,Raw,29.0,67.1,92.5,115.0,60.0
Corne Hubinger,M,Raw,32.5,91.85,235.0,250.0,140.0
Jake Hebert,M,Single-ply,18.5,64.4,182.5,185.0,112.5
Annie Fry,F,Raw,38.0,59.3,117.5,147.5,65.0
Cody Knebel,M,Single-ply,33.0,123.8,410.0,292.5,305.0
Adam Hughes,M,Wraps,28.0,96.5,342.5,280.0,195.0
Kirsten Tebben,F,Raw,20.5,74.8,115.0,137.5,65.0
Nick O'Brien,M,Single-ply,28.0,80.9,207.5,227.5,137.5
Derek Reed,M,Wraps,19.0,88.8,232.5,270.0,145.0
Trevor Manis,M,Wraps,24.0,81.01,215.0,215.0,115.0
Grace Tacuyan-Witt,F,Raw,38.0,109.4,152.5,180.0,87.5
Joshua Russell,M,Raw,27.5,82.95,192.5,210.0,110.0
Tristan Calabro,M,Raw,24.0,97.7,235.0,292.5,182.5
Chad Wilson,M,Raw,42.0,109.59,252.5,262.5,185.0
Victoria Semple,F,Single-ply,19.0,87.7,90.0,160.0,57.5
Anthony Contoleon,M,Raw,35.5,100.5,212.5,225.0,135.0
Monet Avila,F,Raw,26.5,67.29,105.0,112.5,67.5
Tery Powell,M,Single-ply,22.5,102.9,332.5,315.0,220.0
Diana Garcia,F,Raw,23.0,58.9,110.0,115.0,60.0
Wesley Walters,M,Raw,24.0,80.05,232.5,262.5,145.0
Seth Smith,M,Raw,22.0,67.2,167.5,205.0,100.0
Matthew Honeysett,M,Raw,23.5,110.65,200.0,232.5,110.0
Mason Turner,M,Wraps,22.0,98.6,155.0,185.0,115.0
Daven Touch,M,Raw,24.5,73.4,177.5,195.0,122.5
Thomas Brideson,M,Wraps,29.0,74.8,245.0,257.5,130.0
Sue Albert,F,Raw,70.5,107.5,52.5,92.5,45.0
Barrett Marum,M,Raw,34.0,109.68,232.5,260.0,172.5
Brandon Senn,M,Raw,26.5,104.6,265.0,290.0,155.0
Austin Robertson,M,Wraps,30.0,106.14,245.0,272.5,147.5
Brandon Kibler,M,Wraps,23.0,109.1,315.0,322.5,185.0
Michael Wampler,M,Raw,20.5,66.0,192.5,205.0,127.5
Emmanuel Valencia,M,Raw,24.0,93.4,215.0,230.0,142.5
Jenn Rotsinger,F,Wraps,35.0,51.3,145.0,185.5,85.0
AJ LaFleur,M,Raw,31.0,74.5,240.0,265.0,192.5
Quincy Teal,M,Raw,13.5,57.9,90.0,122.5,55.0
Stefanie Odenbrett,F,Raw,29.5,59.9,117.5,127.5,77.5
Mikenna Kossow,F,Raw,24.0,58.35,92.5,107.5,62.5
Jocelyn Powell,F,Raw,22.0,54.5,117.5,127.5,47.5
Linda Kristensen,F,Single-ply,36.5,71.92,197.5,175.0,127.5
Scott Santellan,M,Single-ply,26.0,72.21,115.0,170.0,92.5
Dustin Zuniga,M,Raw,24.0,75.0,195.0,280.0,132.5
Inna Orobets,F,Single-ply,28.5,89.3,202.5,185.0,115.0
Bobby Rinehart,M,Wraps,37.0,87.72,250.0,227.5,167.5
Michael Womelsdorf,M,Single-ply,46.0,95.03,169.98,184.61,129.95
James Davidson,M,Raw,27.0,98.8,272.5,290.0,165.0
Madison Lombardi,F,Raw,15.0,60.0,65.0,92.5,42.5
Justin Smith,M,Raw,23.0,95.5,205.0,247.5,175.0
Nathan Cosmas,M,Wraps,18.0,103.8,217.5,232.5,142.5
Mike Quintus,M,Wraps,39.0,103.6,160.0,207.5,110.0
Luke Propst,M,Raw,31.0,96.1,200.0,210.0,170.0
Alina Nikolaenko,F,Single-ply,19.5,80.46,200.0,162.5,127.5
Julius Visser,M,Wraps,26.0,125.0,265.0,282.5,212.5
Leah Michael,F,Raw,62.0,67.1,112.5,145.0,92.5
Megan John,F,Raw,37.5,54.9,135.0,145.0,70.0
Bryan Torres,M,Single-ply,23.0,94.8,200.0,222.5,125.0
Ash Goulevitch,M,Raw,24.5,97.68,195.0,245.0,170.0
Jan Wegiera,M,Single-ply,43.5,89.16,335.0,287.5,272.5
Mark Springer,M,Raw,27.5,81.46,205.0,230.0,160.0
Andrew Moreland,M,Raw,30.0,123.2,215.0,250.0,150.0
Ronald Yard Jr,M,Raw,30.0,119.0,285.0,317.5,215.0
Mitchell Zaplatosch,M,Single-ply,22.5,71.3,155.0,215.0,120.0
Jeremy Miller,M,Raw,33.5,106.8,227.5,252.5,170.0
Apollo La Mig,M,Raw,19.5,89.5,217.5,215.0,145.0
Cody Franklin,M,Wraps,22.0,87.72,247.21,260.82,174.63
Evgenia Dukacheva,F,Raw,29.5,82.65,202.5,215.0,110.0
Whitley Coe,F,Raw,26.0,55.5,115.0,137.5,72.5
Jake Ungor,M,Raw,17.5,88.8,137.5,185.0,95.0
Thomas Matlock,M,Raw,62.0,108.86,187.5,212.5,115.0
Taylor Maldonado,F,Raw,26.0,88.7,115.0,137.5,52.5
Ryan Kiecker,M,Raw,25.5,82.8,240.0,257.5,147.5
Farhan Siddiqui,M,Raw,23.5,89.4,190.0,272.5,110.0
Nicolas Lepine,M,Wraps,32.0,134.45,285.0,282.5,162.5
Rodrigo Manzo,M,Raw,20.0,66.54,177.5,217.5,105.0
Frank Hausburg,M,Single-ply,28.5,89.6,295.0,305.0,172.5
Greg Hargis,M,Raw,49.0,123.8,200.0,297.5,137.5
Blake Bailey,M,Wraps,17.0,78.9,215.5,225.0,117.5
Patricia Maizels,F,Raw,34.5,69.4,142.5,137.5,62.5
Kyle Seville,M,Raw,21.5,59.95,140.0,165.0,82.5
Julia Ladewski,F,Multi-ply,33.0,53.98,185.97,176.9,129.27
Nino Balsano,M,Wraps,19.5,86.18,161.03,208.65,108.86
Dominick Orlando,M,Raw,23.5,73.1,172.5,195.0,120.0
Lindsey Tucker,F,Raw,,66.59,127.5,140.0,62.5
Pat Stottlemyer,M,Raw,60.0,87.54,142.88,183.7,129.27
Zane Vanderwal,M,Raw,19.0,80.75,167.5,207.5,112.5
Shae Jones,M,Raw,36.0,110.0,327.5,310.0,230.0
Shasha Bowers,F,Single-ply,19.5,79.65,167.5,147.5,77.5
Nicholas Guzman,M,Wraps,23.0,104.05,237.5,250.0,160.0
Ricky Lopez,M,Raw,26.0,116.5,212.5,272.5,180.0
Jessica Blandino,F,Raw,17.5,77.8,110.0,132.5,52.5
Erin Collins,F,Wraps,19.0,66.0,150.0,152.5,65.0
David Wells,M,Wraps,40.0,118.39,227..5,237.5,167.5
Cole Martin,M,Raw,13.0,64.0,107.5,137.5,55.0
BJ Whitehead,M,Raw,37.0,118.84,327.5,330.0,230.0
Dyana DuCharme,F,Raw,29.0,64.2,157.5,197.5,92.5
Joseph O'Flanagan,M,Wraps,25.0,108.85,225.0,240.0,140.0
Jeromy Bryk,M,Wraps,22.0,81.1,230.0,240.0,137.5
Jessica Williams,F,Raw,31.0,62.6,107.5,110.0,57.5
Vicky McCartney,F,Raw,37.0,91.9,80.0,110.0,55.0
Chad Wesley Smith,M,Wraps,26.0,151.5,375.0,357.5,227.5
Tiffany Ellis,F,Wraps,28.0,59.87,97.52,129.27,47.63
Richard Harless,M,Raw,29.0,86.9,207.5,242.5,152.5
Erle Engmark,F,Single-ply,22.5,62.79,182.5,197.5,125.0
Alisha Oseguera,F,Wraps,21.0,73.1,137.5,142.5,55.0
Rachele Griffin,F,Raw,22.5,70.85,137.5,170.0,75.0
David Chestnut,M,Raw,31.0,108.9,200.0,222.5,152.5
Eddie Lone Eagle,M,Multi-ply,32.0,79.4,342.5,287.5,167.5
Salvatore Christopher,M,Raw,35.0,89.0,255.0,295.0,195.0
Kody Brodwater,M,Raw,21.5,65.6,175.0,220.0,105.0
Joseph Deloach,M,Raw,30.5,110.9,165.0,195.0,135.0
Danielle Lang,F,Raw,20.0,66.4,90.0,130.0,55.0
Bruce Le,M,Raw,22.5,96.3,222.5,257.5,152.5
Clint Williams,M,Raw,21.5,58.6,155.0,200.0,92.5
Tanner Morgan,M,Raw,16.0,106.14,132.5,170.0,107.5
Lloyd Dimayuga,M,Raw,,71.6,175.0,205.0,110.0
Mike Courtney Sr,M,Wraps,60.0,80.1,155.0,185.0,117.5
Jay Lowers,M,Raw,23.5,92.1,162.5,182.5,97.5
Jason Work,M,Single-ply,29.0,107.9,287.5,242.5,212.5
Michael Ezzy,M,Raw,22.5,90.95,190.0,220.0,137.5
Illyana Lee,F,Raw,25.0,71.3,102.5,127.5,60.0
Cody Shreve,M,Raw,23.5,81.4,172.5,232.5,140.0
Rudy Perez,M,Raw,22.0,89.85,192.5,222.5,120.0
Justin Sager,M,Wraps,27.0,136.62,272.16,317.51,174.63
Clay Ellis,M,Raw,20.5,155.8,265.0,247.5,187.5
Tania Moon,F,Raw,28.0,74.6,120.0,165.0,77.5
Joanne Ho,F,Raw,18.0,54.4,87.5,130.0,45.0
Matthew Ginion,M,Raw,28.0,99.3,270.0,275.0,160.0
Allison West,F,Raw,21.0,55.6,115.0,115.0,52.5
Mike Evans,M,Raw,24.0,64.2,122.5,162.5,102.5
Marshall Messmer,M,Single-ply,17.5,105.75,287.5,307.5,160.0
Lianne Toews,F,Raw,27.0,79.4,112.5,135.0,50.0
Susan Tate,F,Raw,36.0,88.0,142.5,157.5,87.5
Alex Stanley,M,Raw,28.0,130.9,232.5,287.5,150.0
Dennis Acosta,M,Raw,23.0,51.3,87.5,150.0,85.0
Jose Miranda,M,Raw,35.0,72.57,122.5,160.0,97.5
Chris Pappillion,M,Single-ply,33.0,109.86,387.49,339.99,287.5
Justin Sorge,M,Raw,21.0,80.9,145.0,192.5,115.0
Dariusz Wszola,M,Raw,35.5,58.3,215.0,205.0,152.5
Aaron Arruda,M,Raw,27.0,114.08,232.5,227.5,142.5
Tyler Stickle,M,Raw,28.0,99.65,242.5,297.5,187.5
Wendy Chan,F,Raw,22.5,49.95,133..0,145.0,75.5
Cassidy Mitchelson,F,Raw,17.0,77.5,100.0,130.0,62.5
Rowdy Cashley,M,Wraps,33.0,99.6,260.0,247.5,200.0
Samuel Derynck,M,Raw,21.5,80.45,217.5,257.5,142.5
Donald Williams,M,Raw,49.5,94.7,212.5,230.0,170.0
Stacy Hayford,F,Raw,34.0,59.87,107.5,122.5,65.0
Joe Mass,M,Raw,19.0,161.12,245.0,290.0,150.0
Ben Seath,M,Wraps,24.0,118.39,350.0,307.5,215.0
Zhichen Zhang,M,Raw,20.5,89.8,160.0,187.5,140.0
LaKisha Funck,F,Raw,40.0,124.5,107.5,147.5,70.0
Nathan Small,M,Raw,35.0,98.5,217.5,247.5,165.0
George Greig,M,Raw,19.0,71.78,137.5,152.5,87.5
Wataru Kobayakawa,M,Single-ply,41.5,82.67,327.5,290.0,220.0
Craig Safran,M,Single-ply,33.5,89.3,250.0,317.5,152.5
William Foster,M,Multi-ply,41.0,88.9,217.72,303.91,204.12
Christina Pagiazitis,F,Raw,30.0,57.6,110.0,140.0,57.5
Aaron Camp,M,Raw,13.0,53.8,57.5,85.0,42.5
Steven Pippin,M,Wraps,20.0,74.84,152.5,162.5,87.5
Teresa Codina,F,Raw,24.5,55.8,115.0,130.0,62.5
Veijo Rasanen,M,Raw,59.5,101.0,192.5,262.5,155.0
Mike Boyd,M,Wraps,29.5,93.39,274.42,238.14,158.76
Johnnie Baker,M,Raw,47.5,101.4,195.0,252.5,155.0
Rup Karki,M,Raw,48.0,98.6,227.5,227.5,162.5
Gary Young,M,Raw,32.5,73.35,222.5,260.0,167.5
Zach Wright,M,Raw,30.5,90.5,195.0,220.0,130.0
Sam Clark,M,Wraps,26.0,114.31,147.42,183.7,92.99
Austin Hoffman,M,Raw,22.0,65.9,152.5,215.0,110.0
Isaac Shaw,M,Raw,19.0,75.5,145.0,187.5,110.0
Cory Frank,M,Raw,41.0,108.5,195.0,227.5,127.5
Einasleigh Doughty,F,Raw,24.5,82.0,165.0,170.0,80.0
Dennis Cannataro,M,Single-ply,54.0,88.99,140.0,157.5,167.5
Keigan Dunn,M,Raw,19.5,89.6,272.5,297.5,137.5
Jodi Hormann,F,Wraps,45.0,79.0,92.5,115.0,52.5
Austin Baumgarten,M,Wraps,30.0,153.31,260.0,247.5,152.5
Quentin Adams,M,Raw,51.5,72.2,80.0,110.0,100.0
Sam Whitney,M,Raw,30.5,114.3,220.0,260.0,155.0
Seth Totten,M,Raw,14.5,109.5,115.0,187.5,85.0
Brad Crawford,M,Wraps,36.0,137.0,337.5,387.5,210.0
Mark W. Johnson,M,Raw,47.0,85.0,172.5,245.0,120.0
Jack Miles,M,Raw,27.5,101.35,235.0,310.0,190.0
Gabriel Aseron,M,Raw,25.0,108.9,220.0,290.0,127.5
Javier Garcia,M,Raw,26.0,136.35,100.0,272.5,100.0
Gurleen Lampkin,F,Raw,27.5,107.7,125.0,162.5,52.5
Jean-Luc Collart,M,Single-ply,49.5,117.1,345.0,280.0,212.5
Kaitlyn Rupp,F,Wraps,25.5,88.13,95.25,117.93,49.9
Kristie Calder,F,Wraps,40.0,71.2,97.5,142.5,40.0
Larry Manly,M,Single-ply,68.0,87.0,145.0,157.5,110.0
Andrew Corlett,M,Wraps,30.0,89.81,207.5,242.5,132.5
Jordy Castorena,F,Raw,22.0,66.1,115.0,155.0,50.0
Aaron Fenton,M,Raw,20.0,97.2,155.0,212.5,107.5
Emmanuel Van Hout,M,Raw,19.5,83.0,187.5,240.0,140.0
Daria Rusanenko,F,Single-ply,15.5,61.86,192.5,152.5,90.0
Yevgeniya Suleymanova,F,Raw,23.5,61.9,92.5,112.5,52.5
Jimmie Abraham,M,Raw,23.0,81.65,183.7,258.55,136.08
Michael Braunscheidel,M,Raw,32.0,122.5,187.5,217.5,100.0
Terrence Lenaghon,M,Raw,41.0,120.2,200.0,222.5,110.0
W. Ryan Sullivan,M,Raw,32.0,118.3,225.0,292.5,147.5
Robertard,M,Wraps,23.0,73.03,192..5,192.5,115.0
Allen Manning,M,Raw,39.0,107.37,177.5,192.5,85.0
Ali Sayed,M,Raw,19.5,72.9,190.0,212.5,125.0
Timothy White,M,Raw,28.0,96.0,230.0,220.0,185.0
Catherine McCall,F,Raw,46.5,83.4,137.5,167.5,77.5
Anthony Mosallam,M,Raw,24.0,105.9,227.5,305.0,125.0
Donna Bryant,F,Single-ply,48.0,74.4,165.0,175.0,82.5
Anthony Stewart,M,Wraps,36.0,106.0,227.5,252.5,142.5
Derick Juptner,M,Raw,17.5,102.8,225.0,215.0,145.0
Hubert Wagner,M,Single-ply,31.5,82.8,300.0,302.5,212.5
Barbara O'Neill,F,Wraps,43.0,110.04,147.5,147.5,97.5
Vagif Imamguseynov,M,Raw,33.0,125.4,265.0,305.0,220.0
Yury Belkin,M,Single-ply,23.5,102.78,405.0,357.5,280.0
Mark Tejero,M,Multi-ply,35.0,73.84,331.12,274.42,204.12
Gabriel Valdez,M,Single-ply,17.0,109.41,250.0,250.0,195.0
Steven Taylor,M,Raw,41.0,167.1,210.0,225.0,132.5
Maxim Barkhatov,M,Single-ply,30.5,119.91,410.0,360.0,282.5
Thomas Kambers,M,Raw,21.0,106.5,225.0,235.0,160.0
Kitt Foster,F,Raw,50.5,52.71,92.5,122.5,60.0
Sam Rowland-Jones,M,Wraps,18.0,81.85,197.5,235.0,130.0
Brandon Heaney,M,Wraps,26.0,98.2,225.0,257.5,157.5
Georgia Vos,F,Raw,21.5,80.9,112.5,127.5,60.0
Felix Wynn,M,Raw,28.0,66.85,207.5,245.0,152.5
Jose Ramirez,M,Raw,25.0,109.1,205.0,210.0,125.0
Lilyan Jackson,F,Raw,46.0,159.4,117.5,132.5,87.5
Kenya Kelly,F,Raw,21.0,66.4,95.0,142.5,52.5
Matthew Wells,M,Raw,45.0,117.89,182.5,230.0,132.5
Anthonena DeLisi,F,Raw,19.0,82.2,115.0,157.5,70.0
Nina Rains,F,Raw,34.0,59.6,80.0,120.0,65.0
Brianna Harris,F,Raw,23.0,71.4,137.5,165.0,75.0
Russell Mavis,M,Raw,33.5,90.0,172.5,207.5,160.0
Joshua Mossholder,M,Raw,22.0,97.8,197.5,260.0,142.5
Kader Baali,M,Raw,45.5,73.9,225.0,277.5,155.0
Raj Patel,M,Single-ply,15.5,56.2,105.0,125.0,60.0
Remi Kaniatobe,M,Wraps,30.0,117.2,230.0,252.5,127.5
Neil Wathore,M,Raw,22.5,58.0,127.5,180.0,85.0
James Zaller,M,Raw,23.5,87.0,182.5,225.0,120.0
Jai Hashim,M,Raw,27.5,71.85,160.0,172.5,122.5
Kevin Meneray,M,Raw,20.0,73.4,172.5,217.5,105.0
Colin Sheehan,M,Raw,18.5,73.1,170.0,192.5,107.5
Matthew Ginion,M,Raw,26.0,97.61,270.0,265.0,167.5
Katherine Blodgett Kearns,F,Wraps,41.0,75.0,107.5,117.5,60.0
David Otani,M,Raw,24.0,108.5,192.5,250.0,137.5
Scarlett Portues,F,Wraps,25.0,73.8,155.0,160.0,75.0
Ted Rutledge,M,Raw,65.5,103.25,175.0,185.0,107.5
Bruce Dudley,M,Raw,48.5,92.1,160.0,175.0,110.0
Liam Hillier,M,Raw,15.5,63.4,105..0,145.0,70.0
Kennedy Franklin,F,Raw,20.0,72.3,115.0,147.5,60.0
Aaron Halydier,M,Raw,24.0,107.4,215.0,255.0,152.5
Eric Gohler,M,Wraps,37.0,105.23,235.87,272.16,172.37
Kaden Gantenbein,M,Raw,14.5,78.61,120.2,124.7,83.9
Adam Swink,M,Raw,20.5,75.1,215.0,262.5,152.5
Susan Hudson,F,Raw,51.0,60.0,92.5,127.5,57.5
Kim Radder,F,Raw,59.0,59.87,55.0,90.0,40.0
Barbara Esposito,F,Raw,38.5,75.2,90.0,112.5,42.5
Mark Wesgan,M,Raw,23.5,102.5,180.0,227.5,125.0
Jonathon Sather,M,Raw,23.0,89.5,230.0,247.5,142.5
Michael Santos,M,Raw,27.0,96.7,197.5,227.5,120.0
Diana Chimhundu,F,Raw,53.0,65.9,85.0,117.5,42.5
Mari Stafslien-Dumale,F,Raw,14.5,51.4,75.0,110.0,37.5
Max Aita,M,Wraps,29.0,107.95,335.0,307.5,157.5
Jesus Palacios,M,Raw,18.5,64.76,142.5,170.0,87.5
Moses Corbell,M,Raw,15.0,67.5,129.27,149.69,90.72
Shea Moody,M,Wraps,28.0,80.4,202.5,250.0,117.5
Dawn Dominguez,F,Raw,46.0,74.4,140.5,147.5,80.0
Nicky Le,F,Raw,19.5,66.25,107.5,142.5,45.0
James Knoles,M,Raw,25.0,100.0,265.0,295.0,172.5
Serlina Wong,F,Raw,30.5,72.0,127.5,130.0,67.5
Doug Leonard,M,Wraps,18.0,80.97,230.0,247.5,142.5
Shannon Croatto,F,Single-ply,,77.4,172.5,145.0,82.5
Cade Ross,M,Wraps,17.0,82.4,265.0,282.5,132.5
Jess Pendlebury,F,Raw,21.5,98.9,90.0,140.0,52.5
Carrie Anne Hojnosky,F,Wraps,35.0,76.7,57.5,90.0,30.0
Connor Cox,M,Raw,15.0,67.5,113.4,151.95,92.99
Mike Japenga,M,Raw,48.5,115.4,200.0,230.0,137.5
John Hansen,M,Raw,18.0,82.83,160.0,197.5,97.5
David Heard,M,Raw,55.0,81.2,147.5,227.5,145.0
Darren Matsumoto,M,Single-ply,44.0,67.3,252.5,232.5,192.5
Alexandria Gerry,F,Raw,26.0,59.9,142.5,127.5,72.5
Justin Sandoval,M,Wraps,23.0,88.0,200.0,230.0,127.5
Adam Xiong,M,Raw,17.0,55.6,125.0,172.5,86.0
Jodie Burford,F,Wraps,26.0,59.85,205.0,205.0,90.0
Jake Karker,M,Wraps,33.0,88.9,156.49,210.92,106.59
Joseph Gardner,M,Raw,18.5,81.1,160.0,200.0,110.0
Annemari Larsen Loeberg,F,Raw,24.5,71.5,160.0,202.5,70.0
Zack Damon,M,Raw,25.0,97.52,190.0,215.0,122.5
Christina Bruce,F,Wraps,26.0,66.2,150.0,155.0,62.5
John Thompson,M,Raw,39.5,82.3,192.5,205.0,135.0
Nate Gehrke,M,Wraps,22.0,81.0,227.5,222.5,137.5
Sherry Phay,F,Raw,42.0,81.6,125.0,150.0,80.0
Juan Tamayo,M,Raw,29.0,81.6,225.0,220.0,120.0
Leah Gorski,F,Raw,28.0,66.1,115.0,137.5,52.5
Kassie Latham,F,Raw,23.0,63.3,97.5,122.5,67.5
Spencer Dobbs,M,Raw,17.0,88.81,132.5,180.0,92.5
Corey Greenberg,M,Raw,21.5,81.5,235.0,260.0,150.0
Deamo Baguga,M,Raw,28.5,82.55,270.0,316.5,140.0
Lawrence Andrews,M,Single-ply,21.0,97.98,182.5,210.0,155.0
Bridget Shilts,F,Wraps,20.0,57.15,97.52,120.2,72.57
Craig Lawrence,M,Raw,46.0,125.83,247.5,265.0,155.0
Lindsey Rossiter,F,Raw,21.0,65.7,105.0,157.5,67.5
Maria Karabova,F,Raw,27.0,73.3,70.0,100.0,35.0
Maureen Finke,F,Raw,40.5,80.94,77.5,92.5,47.5
Melissa Allan,F,Raw,23.5,79.0,105.0,115.0,60.0
Caleb Beckett,M,Raw,20.0,93.2,160.0,215.0,112.5
Zachary Justice,M,Raw,18.0,84.64,140.0,182.5,97.5
Paulo Tanaka,M,Raw,23.0,98.52,262.5,290.0,157.5
Austin Jones,M,Raw,20.0,75.0,180.0,215.0,125.0
Brian Clark,M,Wraps,16.0,58.6,-115.0,130.0,67.5
Michael Wallman,M,Raw,24.0,71.8,142.5,190.0,97.5
Marie France Cabos,F,Raw,49.5,56.64,102.5,142.5,70.0
